text,misogynous
my lil slut whore loves suckin dick for to pay her goddess .. turnt allll the way out just for me ;) lil slut mut url,0
what an absolute cock womble this cunt is. does she also alude to the fact she recieved free university education aswel. url,1
ophelia the slut hurricane hits today and i can guarantee that bitch will destroy my internet ready for front page ,0
dispelling the myth of the girl who cried rape url url resist,0
"honey, it's not you vs. skank. it's you versus every skank. it's like she's a mighty spartan warrior but there's a url",0
mention1 mention2 well duh i made the gc you a hole,0
"treacherous traitorous bitch. sold out her country, and women for money and fame. url",1
6th this cunt some poor woman carried a bairn for 9 months for it to pop out an end up doin this shite url,1
stop tweeting about love. youre like 16 stfu. you've probably never even seen a penis before womensuck,1
goals af url,0
mention1 third i do not remember calling her a slut or a whore or a bitch o saying anything else at all so char url,0
when your finger fuck game strong af url,0
this nigga is on snap fucking a bitch while she sucking somebody else's dick  bruh,1
when your wingman gets bunned up and leaves you to fend for yourself url,0
"mention1 then you bitch m complain when you get them haha stop being a little bitch and just accept what you are, you filthy whore ",1
"when you've just gotten married, realize you're stuck with this asshole for life url",0
mention1 mention2 :') this whore is damn sexy mention3 tbh this girl knew how to name her acc :'),1
anhyone else hate the way women smell? i think it's because they're bitches!!!!!! fuck you bitch!!!?!,1
"people that force me to be brutally honest to their face are the best... like yo you did this to yourself, fam",0
this is how you support women. 'not all men' doesn't cut it. be better. url,0
mention1 mention2 your a no nothing woman hating cunt reliving you sad little hatred of your unloving mothe url,0
"i understand why men dont like women very much anymore. i do. notallmen (right, left?) url",0
mention1 i though in a free country you could worship whoever you want too? isnt america the home of the free? you're a cunt,0
thing is not all men clean up like gucci... be careful who you ride for url,0
you ho's still not allowed to speak on eesh in my presence. i'll beat yo ass girl lol don't get it fucked up. ,1
mention1 youre a fucking nobody. you just take advantage of people that care for you. good on you whore,1
when she says she only dates black guys url,0
sitting on steps is always massive turn on for those watching. good girl stephapproves slut url,0
"mention1 mention2 ram man, why are you such a white knight on social media?",0
mention1 i have diarrhea that smells better than u spook nigger coon cunt pig whore and fuck ur faggoty ass hat bitch dyke twat retard,1
i hate gender -specific adjectives. not all women are feminine and not all men are macho.,0
mention1 mention2 fuck love a loose kunt you can jack off into,0
i mean... you got one from me and i don't ever do that so....  url,0
mention1 mention2 its clear in the fuckin video are u fuckin stupid if u take idubbz dick out your mouth for 2 fuckin seconds you would hear him say nigger,0
mention1  come on woman do your job right womensuck,1
last i checked men have the penis and women don't. i won't say it again but the dick is all that matters mensrights!,1
"people talk down on women who don't want broke niggas for no reason, i wouldn't want a broke bitch",1
"you didn't have a choice, that things never comin off url",0
only bitch ass fuckers rape women,1
"women are equal and deserve respect. just kidding, they should suck my dick.",1
"newk's sells their whole cakes for 48...they smoking dick, they are delicious but 48 bitch please",0
my bathroom vs your boyfriends url,0
that's the original it came from. but i appreciate the fact that you think i would follow or steal from u. sit down url,0
yo i hate being a freakin woman where can i grow my new dick,0
when i see someone i can't stand and get stuck talking to them url,0
mention1 guy or girl?,0
so now because of this bitch girls are going to think they can bargain their way out of a rape instead of fighting url,1
"mention1 mention2 fyi - calling a woman a 'skank' never discredits her, it just makes you sound like an asshole th url",0
why does this stupid herrera guy pass the ball without taking a touch then when he loses it presses like a cunt?,0
god doesn't hate gays he's just mad they found a loop hole in dealing with women,1
"mention1 mention2 mention3 i have a big cock, doubt you can say the same",0
how in tf you gonna put your two cents in on something and somebody you dont know then block and unblock me. like bitch get off my line,1
mention1 i believe putin has a video of trump screwing a 12 yr old in moscow hotel. trumps resorts are whore houses for the rich. he golfs a lot.,0
"mention1 oh, so we're talking about you. my dad would always say a bitch is a woman that won't sleep with you ... classy guy huh?",1
"you cant be pro -sexual liberation (for women especially) and be anti -hoe by calling people you dont like slut, hoe, whore.",0
red sox fans are following my blog. men's rights today !!!! jobsreport mensrights women url,0
so i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch,1
bitch dont come to me as a woman .... cuz yo nigga came at me single ,1
'person1 is a dumb cunt dyke bitch hoe. waste of a pick. stupid idiot.' -coach q,1
"mention1 rape is no joke and something we do not support, the kitchen needs to be cleaned by the way.",1
"boo, you sweaty whore",1
someone asks you to catch a rare fish with like two days left in the season and it's like dude can you not be such a dick,0
mention1 mention2 mention3 so yesallwomen is fine but yesallmen should burn in hell? looks like someone didn't get their way,0
"sure sadiq kunt, whatever you say.  url",0
i saw a women driving whilst speaking on the phone i cursed that cunt :),1
mention1 they deadass digging a hole for themselves mention2 fat bitch loose weight,1
"mention1 mention2 idk buddy, i'm not a meme historian",0
are you fucking kidding me? 49ers going down a shit hole url,0
"mention1 mention2 he didnt murder you spastic cunt, he and the woman were both drunk.",0
"mention1 libya was on a rise till you guys bombed them to hell hole, now talking bout backwards",0
mention1 mention2 you have to understand that not all men were raised the right way and you have to protect you url,0
mention1 wife mom crook thief. murderer woman abuser .weinstein supporter.cunt,1
mention1 mention2 mention3 suck my dick you stupid bitch.,1
mention1 she's a woman. she can't help the fact that she sucks,1
fuck love wat love that fake love u give u lil kid u bitch that once i turn woman on u u run away,1
i said what i said delete that bitch you cant beat my ass url,1
if the dick good shes gonna agree to the you my girlfriend now statement off rip,1
from why did i shag at fucking whore at kid is a mistake en the mis stake its self obviously we burnt a few innocent women thank them whores,1
mention1 ahhh bitch just the other day you said ' i been having a crush on him since forever' dumb ass hoe give it up he don't want you,1
" pineapplecity: dogwhoreowner: stupid cunt, thats what the filthy whore deserves! thats how all men... url",1
"if your girlfriend doesn't like that bitch, you don't talk to that bitch.",1
bel where the hell are you your side hoe minhyuk is now in black mydmd!dmmf,0
teaching a woman to drive is like teaching a rock to swim. womensuck,1
"mention1 june, sweetie, might i suggest that you tell this condescending bitch to shut her trap hole?",1
"if you think you don't have a gag reflex, let me prove that you do...",0
"i miss u but also fuck u, cunt whore bitch",1
i'm gonna put that sc butterfly filter around the head of my dick so y'all can see how stupid you look ,0
mention1 'getting lit off trays of fucking molly you mermaid loving slag' - the only true response to give her,1
its hard seeing someone you loved so much move on. but just remind yourself you are wonderful and he has a small dick.,0
deleted again. working to get it back again url,0
coworker- good morning! me- url,0
mention1 hi ,0
if anyone calls you a slut or a whore we'll stop them by calling them another insult. you go girl. and if you can url,0
fuck woman who make false accusations of rape. you are a piece of poop url,1
when you're dropping subtle hints that you need to be eaten out url,0
if you find me funny it's only because you have serious issues and that shit is hot af to me,0
mention1 couldn't agree more! refreshing to see a woman who feels the same,0
mention1 mention2 bitch shut the fuck up,1
mention1 i'm not surprised the last time women spoke abt their experiences of being abused he also tried his 'not all men' bullshit,0
mention1 rin is a big abusive whore and a bitch but shinji is allowed to commit incestual rape for over a decade ,1
"mention1 y'know, you'd probably get a job at subway because all a cunt like you is good for is making sandwiches",1
mention1 if you count prison rape men are raped more than women.,0
who makes the sandwiches at a feminist rally?,1
when your crush finally slides in ya dm url,0
bitches better stop wearing bonnets in public. put a fucking hat on if youre a lazy cunt like me. thats what i do.,1
as usual the skank democrats lie and make it up to cover their evil ass. we r so looking forward to the public hanging.swing you bastards!,0
what a glorious cunt you have. too bad youre a basic bitch. always were always will be. stay mad. hoe. imtalkingaboutadude ,1
why do you miserable hoes be so worried abt the next bitch  wha they got going on ,1
domestic abuse is never okay.... unless your wife is a bitch womensuck,1
i kinda want to see you again just so i can punch you in the kidney. womensuck,1
"mention1 you're the exception , you weren't a rude lil cunt like some hoes. ",1
mention1 mention2 woman she is a cunt,1
find it hysterical that a bitch can't talk shit on me until she moves awayscared???,1
looooooooool i cant believe ben wotts aka dick head fuck boy send me a pic of his hairy ass hole n asked me to peg him.. weird cunt ,0
is it really indecent exposure if you have a magnificent penis? i thinks it's pretty decent exposure,0
fuck you bitch. i'd fight you if i wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth,1
when she's bitching at you for absolutely no reason and you're wondering why you ever left the single life url,0
really up wondering why this bitch wants all my seconds  40 something year old whore,0
now his slag mother has been blown up hopefully that lil cunt gets it nxt as well url,1
mention1 i would give you some lovin back but i'm just here to point out where women fuck up. but thanks 3 womensuck,1
bitch just called me her fuck buddy i told the bitch i aint no hoe smh,1
mention1 what a fucking cunt this slut is also i dont want this to endddd pleaseeeee when is tuesday gonnaaaaa url,1
when you ask her what that mouth do url,0
bitch are you fucking kidding me??? so if women get hit by their husbands its cuz they're hitam?? not bc he's an abusive asshole??  url,1
i've been called a son of a whore and a cunt today already. it's not even 1 yet,0
mention1 maledominance,0
"lmao, mention1 went off on the whore groupie hoe in scotts bathroom. yes bitch!",1
another new day for women to fuck up womensuck,1
"if your man has an android, you're allowed to cheat on him",0
rt mention1 everyone needs to follow mention2 because they're hilarious and feminists are gross ,1
"idgaf if you want to block my chick acc. i know im a problematic bitch sometimes but whore, this acc is really got url",0
"taking of salah for the ox is like forcefully ramming a broom up your arse, just why would you do it livmun",0
go fuck yourself you stupid ugly cunt url,1
only a goofy bitch calls to tell you some violent ass shit a child wants to do with you cause of something their toxic ass said. dumb hoe,1
mention1 i wouldn't put my wm on it if i didn't,0
a women without a man is like a car without an engine; it doesnt work.,1
you pick the guy thats a total douche to you over the one whose good to you. got it. makes perfect sense! womensuck,1
"don't get all excited. she may be talking to you, but she's probably talking to 4 other dudes as well womensuck",1
nah that bitch sucking ass hole and you vibinfuck outta here young rainbow url,1
turns out that you don't need to eat pineapple if you're busting down her throat... she'll never taste it,1
and i was cool with both guys  shows you women are sneaky and ain't shit just like niggas. always knew my baby mama was a hoe ,1
what an ahole lying bastard you are. stupid con artist we pray for your death daily url,0
you're a skank ass ho but i love you anyway. mention1,0
mention1 mention2 heres a genius idea : suggest that not all men are rapists and that not only women get raped?,0
when you find your ex on tinder url,0
'this bitch won't stop riding his dick' lmfao url,1
turns out that you don't need to eat pineapple if you're busting down her throat... she'll never taste it,1
and most the women they whores hollywood or not lesbian or not young old ugly or not married or not they got five men for 5 reasons 100,1
"this is the most disrespectful thing a man can do to another man! , you turned off pimp c!!!!  url",0
pro tip- all girls like being told they're good girls,0
glad to see url still pushing the idea that the girl wasn't a rape victim. always encouraging t url,1
mention1 guilty gear you fucking whore,1
"mention1 you look like your whore mother dresses you in the dark, you hit women and you were ugly even before skaterboy fixed your face!",0
when men leave dumb comments thinking it's gonna hurt my feelings url,0
you down or nah? url,0
mention1 hillary clinton does give a shit about women that's why she lied again she is now keeping all the harvey weinstein money greedy bitch,1
i treat women like fuck toys cause that's all they are to me,1
mention1 grow up you slag,0
waking up today like.... url,0
mention1 mention2 not all men are godless heathens with no morals or values. i know that might be hard for you to understand.,0
mention1 sorry the old sapphire cant come to the phone right now. why? oh. cause shes busy filling her whore hole.,1
"lmao a little bitch got mad at me at work yesterday and asked to speak to a manager..  hoe, i am the store manager so what now? ",1
mention1 you said it. let's see how that works when you're wearing handcuffs. i noticed eric is quiet and so is that skank conway.,0
mention1 thank you woody. i'm going to retweet this in the hopes that this will get back a-hole.,0
"if you're a man, women can't be trusted. they'll turn against you, it's in their nature.!",1
when it's not your fathers birthday... url,0
please spread your cunt hole fully url,1
"yeah, here i am again. anyone else see at least 5-10 women today? can't believe they were allowed outside. who do i complain to????",1
"good morning, i have news to break to the ' not all men ' folks. i am sorry to disappoint you but men( including your mcm) are trash",0
mention1 fuck you and all of your videos you stupid video game criticizing bitch stop fucking talking about things you know nothing about fucker,1
what's the difference between a pencil arguing and a woman arguing? a pencil has a point,1
mention1 hillary u bitch shut your hole re: the comfort as u r a career criminal my dear. how about the mill url,1
"mention1 yeah, but i think ram is something you cant ever have enough of. maybe when you can load the entire hd into memory...",0
mention1 mention2 mention3 fam all youre doing is arguing the narrative that not all men as if you kno url,0
mention1 mention2 they still makn dak out be a homewreakn whore and jamie a cheatn cunt sad sad ppl unlike the url,1
everyone hates chelsea - whore skank url,1
do what? url,0
girls don't poop... they just cry!,1
mention1 your orange colored scumpig cunt whore god will soon go into history as the worst potus. his brainwas url,0
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,1
that bitch yarelis think im stupid im good bitch ur nasty as can stay fucking your cousin aint wasting my time on no hoe,1
mention1 die in a fire you fucking skank.,1
mention1 that bitch is the godmother of perversion! crooked hillary is like the ugly old slut of the wild west that opens the whorehouse!,1
worldcup blog for teens who want to join the men's rights movement to cancel feminist bullit. url,0
hoes ain't shit i'll die happy lonely..... kuz i'll be damn if i trust another bitch who don't make her own money.......,1
pmln is acting like a whore who incites people to rape her in order to use it as a victim card and earn relevance. url,1
mention1 thank you lil bro bitch skank thot!,0
mention1 go rape your whore of a mother,1
a healthy amount of sperm url,0
lets go down the slate rabbit hole: person1 is a woman who seems to think men falsely accused of rape url,0
texas 'rape insurance' bill is about economic violence against women url,0
mention1 mention2 suck my dick dumb bitch :),1
pmln is acting like a whore who incites people to rape her in order to use it as a victim card and earn relevance. url,1
mention1 robbie rotten is not stupid you cunt,0
mention1 we have the same bday... you should let me fuck your brains out and treat you like a cum dumpster on that day... bdaygoals,1
"someone: not all men - me: yes, you are right. lee everret would not do this",0
vodka is my spirit animal,0
this bitch is stupid af. forcing me to wake up my residents. like wtf not like i was sitting not doing shit i was doing shit. stupid ass.,1
girls hear you say fuckk during sex and think her pussy bomb first of all hoe my girlfriend on her way,1
"if you don't have haters you're doing somethin wrong... i got haters, stalkers and people that just plain don't like me... luh u hoes",0
fuck shit cunt bastard whore wanker,1
when you're up till 5am but had to be to work by 8:30 url,0
my only goal in life is to fuck at least 1 follower from each social media platform... twitter is the only 1 left... mention1 your move,0
it is a glorious life that i lead url,0
the only woman i respect is my mom and that's why we still live together. no one does laundry like her laundryqueen ilovemymom fuckwome,1
"mention1 babe, i wanna thank you for having such insane anal scenes. your scene from slut auditions 3 is my all-time fav !",1
why do people make snowmen instead of snowwomen? it's too hard to hollow out the head,1
"mention1 mention2 stupid as, it dosent make the mullas angry, the hole nation is angry",0
aw  i owe you a mustache ride! url,0
"i like boobs as much as the next guy, but usually what they are attached to are nagging menstruating fucks! womensuck",1
mention1 mention2 demi  fat and flop ariana  queen now leave stupid bitch,1
mention1 to the whore who runs your shitshow. go educate yourself as to why acting like a fucking political slut doesn' url,1
mention1 fuck you stupid bitch,1
naw depends if he rape fam that's a dub if its a random bitch he a whole dicchead but i stand by em right or wrong url,1
trust women and support their decisions them make in their pregnancy and dont be a cunt,0
are you ready to meet your next ride? stop by hall chrysler dodge jeep ram virginia beach today! url,0
i treat women like fuck toys cause that's all they are to me,1
and most the women they whores hollywood or not lesbian or not young old ugly or not married or not they got five men for 5 reasons 100,1
when she says 'we can fuck but you have to wear a condom' url,1
another new day for women to fuck up womensuck,1
mention1 should fire mention2 now for calling mention3 a whore! he can't stand strong black women url,0
the bitch can go with whoever she wants now i guess. i already took that v  destroyed every hole she got anyway. raw too. petty,1
this woman has some nerve. to even speak right now is beyond hysterical considering what's right around the corner url,0
what really happens when you send her a dick pic url,0
"mention1 you got reply in before mine, but what i'm pointing out is women work their lives around being safe from some men, not all men",0
dear white girls: regardless of how much black dick youve had in your mouth you dont get a pass to freely say nigga. ever. lol.,1
mention1 mention2 bitch i ain't no hoe,1
last night god took dan out of the he she and now women won't find as much energy to bitch w about men. the bogus agenda needs to stop now,1
jervea ass bout to really come up missing stupid hoe got me sick ,1
chuckwoolery: lipstick on a pig. the democrat women on out numbered. if it weren't so weaselly it would be hysterical. trying to defend dnc,1
shit the dick make you smoke lmao,0
mention1 is like the donald trump of social media sites the way they're just purging pages for no apparent reason,0
girls will friend zone a dude that's in love with them and never give them a chance... but be salty af when he gets a girlfriend,1
in class today girl next to me 'i hate how every girl dressed like a skank for halloween' guy in front of me turns 'it was amazing,1
mention1 i know walahi.. mna lsa kunt basm3ha m3rfsh influenced you wala sudfa,0
"boo, you sweaty whore",1
sometimes you just gotta finger a bitch in public to let her know who's boss url,1
"a big sour whore bag, should never play hard to get when all she's does is fling up da pussy in all kind of styles to all kinds of men fact",1
when you realize you're a mass murderer url,0
mention1 fucking bitch sarah fucking lying cunt,1
get a real woman not a hoe then. url,0
"mention1 mention2 mention3 a man who calls a woman a bitch or ho needs a good slap in the face with a crowbar! old school italian, respect women! cheers",0
i need some new atl hoes for the summer... where the atl bitches at,1
hello cunt hole.. mention1 doh be on me saddis ill buss yuh face..,1
she is our skank we r her guys we can fuck her that way she amost say please treat my like a whore honey url,1
mention1 it kinda sounds like you run a house of skank over there. mags stinks  and dogs getting into the halloween candy.,1
"mention1 this is about integrity. it is not about parties or candidates. would you permit rape, if perpetrated by a political side?",0
this ignorant cunt bitch mention1 bout people hate her cus shes lightskin...no. we hate you cus you are a man.,1
my life has been so much better without you in it womensuck,1
cenk the skanks taqiyya was always paper thin. he underestimates americans. bought into the ugly stupid american b url,0
fuck off you stupid fucking cunt oh my godddddddd,1
it's when you get called a cunt 45 times a day for simply existing as a woman who dares to have her own youtube account.,1
like for one bitch you aint never let me not any nigga i know fuck u been a paid hoe and you didnt get the 200 in miami butch drown,1
most men are too scared to choke a bitch properly... i never feel like i'm choking them hard enough,1
im so glad i make more money because i'm an a man! can't wait for more women to get less and do more! keepwomendown,1
you'd have to ask mention1 cause they have yet to respond to me url,0
girls will friend zone a dude that's in love with them and never give them a chance... but be salty af when he gets a girlfriend,1
mention1 this bitch waaay to much shit to talk about athletes like your literally a professional slut stay in your lane,1
mention1 mention2 see you are doing it again. no woman who is criticizing mcgowan is saying or thinks jokes about rape are ok.,0
maybe most women generally get along with each other really well because we don't have to deal with weird ass bitch url,1
women have all the privileges. men have all the responsibilities. obviouschild end feminism today! url,1
"sheusedme dear world, not all men r oppressors. not all women r oppressed. we have to become gender neutral  be equal. mention1",0
"pro tip- if you're in nyc tonight and a girl asks you if you're yourfuckboy, say yes, take her home and fuck her",1
these hoes done called me kelly jr bitch fuck them ,1
"mention1 we know that, we know not all men. but harassment happens to all women - this isn't about you",0
mention1 hey man! we're finally on twitter and just wanted to thank you so much again for the ongoing support. you are so inspiring,0
youre not going to tell me to say happy birthday to someone that called me a cunt and a slut within the span of 10 minutes,1
when the pizza man is more than a minute late url,0
people that post about how 'blessed' they are always make me wonder who they're trying to convince. it ain't me i know about your coke habit,0
loool i tried using my card abroad n the cunt hoe sket worker was like 'ur card declined maybe u dnt have enough' i url,1
told the bitch i like her  her girlfriend ,1
"the slating of person1 is disgusting. just another virginwhore dichotomy at play. all women deserve respect, not just the 'good' ones",0
and you won't get me in a hole to rot with your hemlock on the rocks.,0
person- so what's your sign? me- url,0
when you're trying to text your fuckboy but your boyfriend won't stop looking over your shoulder url,0
mention1  we should be cautious when using them. slut and whore are examples. i don't think people should be us url,0
"mention1 it's alright julia, we already know how vile you are, no need to ram the point home",1
mention1 mention2 lol. you selfish terrorist kunt should be boiled alive. maybe lynched by neonazis. would serve you right.,1
not jacking off to hentai mind you my cock been dead for days but busy reading!,0
the simple fact of you calling a girl hoe just because she rejected you shows how much you didnt deserve her.,0
my bunker alfa in my phone have only 1 floor i know this is a problem with my ram . but can you fix it soon . need chopper mention1,0
mention1 you made it kunt url,0
"mention1 ok guys, jokes over... we all had a good laugh, you can give me my account back now ",0
so why wouldn't you report the rape? url,0
"if the issue is military rape, it's, 'what do you expect if men and women are sleeping in the same tents?' then it's back to notallmen. 38",0
talmbout. i was always feeling lmaoo bitch shut up and drop that baby fat before u try and jump on this dick. it got a weight limit,1
mention1 mention2 hysterical. and pathetic. she won. flat out. bunch of crybabies won't let a girl beat boys? bs,0
da best piece of pussy i got was from a bitch at waffle house that hoe was from mississippi.. pussy was tight and slippery,1
people- how long before your heart and liver give out on you from all the drinking and drugs? me- url,0
you a bitch an a whore you make us look stupid bitc...  well u look stupid rn lmaodjdh url,1
mention1 u people mention1 r pos. liars. more fake news. u should offer 5 women to obama. w that skank wife he has he would take the offer.,1
person1 vs person2 skank pussy bitch url sexfight via mention1 url,0
mention1 this bitch will be rape by trump too and then denie it.,1
"mention1 it's alright julia, we already know how vile you are, no need to ram the point home",1
"always remember, it's not whether you can or you can't, but that nobody gives a fuck either way",0
mention1 we must be brave and strong and show decent logical women that not all men are rapists we must come together and speak out,0
mention1 mention2 mention3 and if you think some whore blowing a guy to get a part in a movie is rape? url,1
"shoutout to all you passive aggressive bitches... go choke on a dick, bitch",1
mention1 bitch biggs ass hole,1
calling someone a bitch and a cunt is not the way to do it.,1
mention1 fuck you stupid bitch,1
fires back hoe ass bitch with a big ass forehead  i knowwwwww ,1
"mention1 that woman is a grade a, attention seeking cunt of the highest order.",0
mention1 in this full length fur coat calling this girl a whore  bad bitch,1
"just heard a brilliant response to 'not all men': 'you're right, it's not you - it's all of you.'",0
stop tweeting about love. youre like 16 stfu. you've probably never even seen a penis before womensuck,1
a woman who accused us rapper nelly of rape has asked the police to stop their investigation,0
mention1 names bitch and ill end that cunt,1
"mention1 mention2 yeah like looking at a woman when she doesn't want you to, that's rape right?",1
mention1 mention2 omg he gave her his number and she didn't say no what a cunt the girl is the cunt for giving it to some random fucktard,1
mention1 what some of these bitch part starlets promote to young is worse than rape it is rape of young minds. what goes around comes around!,1
"mention1 what a dick you are, do you think westminster is doing a good job for the uk?",0
mention1 the only way the skank will be president...have fun all you resistance nut jobs..,0
we can't have a woman in the white house. what if she starts pmsing and drops bombs everywhere?,1
when you shaved and all he was good for was ten minutes of missionary and the choke of a child url,0
i hate coming to the city people real life know my car like pussy study yo bitch car ,1
mention1 isnt the bitch is the one whose attacking women or people who cant or isnt able to defend self? mussies are cave monkies,0
mention1 mention2 not all men abuse women so why should you need to have more faith in men who have don url,0
mention1 almost everyone ive met says edating at all is being a slut or whore but jumping from person to person is definitely being one mate,1
life's too short to be giving people second chances,0
"to push it aside if you need too. and i know, not all men. but that doesnt matter. yall know what i mean.",0
mention1 welp. bitch im just now fucking seeing dumb whore,1
mention1 ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt,1
never trust a girl with 'makeup artist' in her bio... they're professional liars... they can even make your own eyes lie to you,1
"not all women have weaves, some way not all men are dogs  url",0
"ladies you want equal rights? well in that case my lawn needs cutting, my car needs an oil change, and my ass needs wiping. gettoit",1
i know why men spout notallmen. it erases their individuality. suck it up boys. you've been denying women their individuality for ever.,0
i'm picky af when it comes to girls... until a girl wants to bring her not so cute friend over for a threesome,1
"so a woman shouldn't be questioned if you does a 'bobbitt"" on him in his sleep! women are stupid to let any man bea url",1
her- where'd you learn to eat pussy like that? me- url,1
every one of these takes 7 minutes off your shitty relationship url,0
get u a girl with a resting bitch face that only smiles at u,1
mention1 do you take some else's help? or just ram into somebody?,0
i just saw a bird fuckin another bird and when they were done they both flew in totally opposite directions... this best sums up my sex life,0
we will rebel against this society's matriarchy and establish fascism one day.,1
i'm about to cunt punt a mexican bitch  ,1
when you're in love with her and find out she doesn't do anal so you're gonna have to cut her loose url,1
"mention1 mention2 wow for real? you are a clueless, insensitive ass. we know it's not all men you jerk. we url",0
british actress becomes fifth woman to accuse of rape... url,0
"boy you look like you rape girls at frat parties, malicious ass racist cunt url",1
"loooooooooooool i don't date, sweetheart. just dick appointments url",0
since when is having and enjoying sex a character flaw? since we started calling women whores? since we gave it a title?,0
mention1 come on box i show you my cock darling,1
"no one gives less fucks than the guy that comments 'check your dm, ma' on bitches posts",1
mention1 bitch text me and why tf you aint text me back yesterday  whore!,1
